Place,latitude,longitude
"IIT Bombay,Powai",19.1303,72.9188
Andheri,19.11227,72.84067
B ward,18.9461,72.82481
Bandra,19.05039,72.83748
Byculla,18.97242,72.832
C ward,18.9614,72.83339
Chembur,19.05456,72.89361
Chincholi,19.1784,72.8368
Colaba,18.91547,72.82608
D Ward,18.96262,72.81316
Dahisar,19.24758,72.86253
Dindoshi,19.17503,72.86099
F North,19.02942,72.85461
F South,19.00593,72.83973
G South,19.00832,72.83038
Gowanpada,19.17205,72.96637
H West ward,19.05639,72.8354
K East ward,19.12036,72.85237
K West ward,19.11694,72.84639
Kandivali,19.20361,72.85056
Kurla,19.08449,72.88607
L ward,19.07065,72.8792
M West ward,19.05497,72.89578
Malvani,19.19625,72.82244
Marol,19.10945,72.87761
MCGM 1,18.94044,72.83442
Memonwada,18.95782,72.83264
Mulund,19.17516,72.94255
N ward,19.08393,72.90644
Nair Hospital,18.9737,72.8227
Nariman Fire,18.92307,72.8261
Rawali camp,19.03552,72.86689
S ward,19.13903,72.93045
SWD Workshop dadar,19.01231,72.83742
Thakare natya,19.23324,72.85449
Vikhroli,19.10094,72.91817
vileparle W,19.09292,72.8441
Worli,19.01306,72.82333
