Index2,Andheri,B ward,Bandra,Byculla,C ward,Chembur,Chincholi,Colaba,D Ward,Dahisar,Dindoshi,F North,F South,G South,Gowanpada,H West ward,K East ward,K West ward,Kandivali,Kurla,L ward,M West ward,MCGM 1,Malvani,Marol,Memonwada,Mulund,N ward,Nair Hospital,Nariman Fire,Rawali camp,S ward,SWD Workshop dadar,Thakare natya,Vikhroli,Worli,vileparle W
01-01-2009 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2009 00:15,51.0,,67.0,50.0,,75.0,72.0,75.0,,68.0,58.0,,,,55.0,,,,75.0,71.0,,,,,73.0,75.0,50.0,,,,,,,,73.0,67.0,
01-01-2009 00:30,52.0,,66.0,50.0,,74.0,73.0,75.0,,69.0,58.0,,,,55.0,,,,76.0,72.0,,,,,72.0,75.0,49.0,,,,,,,,73.0,62.0,
01-01-2009 00:45,53.0,,64.0,50.0,,76.0,74.0,75.0,,68.0,59.0,,,,56.0,,,,76.0,71.0,,,,,71.0,75.0,51.0,,,,,,,,73.0,60.0,
01-01-2009 01:00,53.0,,62.0,54.0,,76.0,74.0,75.0,,68.0,59.0,,,,58.0,,,,77.0,71.0,,,,,70.0,75.0,52.0,,,,,,,,73.0,61.0,
01-01-2009 01:15,56.0,,61.0,55.0,,78.0,74.0,76.0,,68.0,61.0,,,,57.0,,,,76.0,72.0,,,,,70.0,75.0,51.0,,,,,,,,74.0,61.0,
01-01-2009 01:30,56.0,,63.0,55.0,,77.0,71.0,77.0,,67.0,60.0,,,,58.0,,,,75.0,73.0,,,,,71.0,76.0,52.0,,,,,,,,74.0,62.0,
01-01-2009 01:45,56.0,,64.0,54.0,,77.0,67.0,78.0,,65.0,58.0,,,,60.0,,,,75.0,73.0,,,,,72.0,75.0,51.0,,,,,,,,75.0,63.0,
01-01-2009 02:00,56.0,,65.0,52.0,,79.0,67.0,79.0,,66.0,54.0,,,,61.0,,,,76.0,74.0,,,,,74.0,76.0,54.0,,,,,,,,74.0,63.0,
01-01-2009 02:15,55.0,,67.0,51.0,,79.0,69.0,80.0,,66.0,53.0,,,,62.0,,,,76.0,75.0,,,,,75.0,75.0,54.0,,,,,,,,76.0,62.0,
01-01-2009 02:30,53.0,,68.0,50.0,,79.0,70.0,81.0,,65.0,52.0,,,,63.0,,,,76.0,75.0,,,,,73.0,76.0,55.0,,,,,,,,77.0,63.0,
01-01-2009 02:45,51.0,,68.0,49.0,,79.0,68.0,81.0,,64.0,51.0,,,,61.0,,,,73.0,75.0,,,,,74.0,76.0,56.0,,,,,,,,77.0,62.0,
01-01-2009 03:00,50.0,,69.0,48.0,,80.0,68.0,80.0,,64.0,50.0,,,,58.0,,,,74.0,76.0,,,,,73.0,76.0,55.0,,,,,,,,77.0,62.0,
01-01-2009 03:15,50.0,,69.0,49.0,,81.0,69.0,80.0,,64.0,48.0,,,,57.0,,,,74.0,77.0,,,,,74.0,76.0,55.0,,,,,,,,77.0,64.0,
01-01-2009 03:30,51.0,,70.0,50.0,,81.0,69.0,81.0,,64.0,48.0,,,,57.0,,,,73.0,77.0,,,,,76.0,76.0,53.0,,,,,,,,77.0,64.0,
01-01-2009 03:45,52.0,,72.0,50.0,,81.0,70.0,80.0,,65.0,48.0,,,,58.0,,,,73.0,77.0,,,,,77.0,77.0,50.0,,,,,,,,77.0,66.0,
01-01-2009 04:00,52.0,,73.0,50.0,,82.0,72.0,80.0,,67.0,50.0,,,,58.0,,,,72.0,78.0,,,,,77.0,77.0,45.0,,,,,,,,78.0,66.0,
01-01-2009 04:15,54.0,,73.0,50.0,,81.0,73.0,77.0,,66.0,50.0,,,,57.0,,,,72.0,78.0,,,,,77.0,77.0,45.0,,,,,,,,78.0,66.0,
01-01-2009 04:30,52.0,,74.0,50.0,,80.0,75.0,77.0,,65.0,51.0,,,,57.0,,,,75.0,76.0,,,,,75.0,78.0,46.0,,,,,,,,78.0,65.0,
01-01-2009 04:45,52.0,,76.0,50.0,,79.0,74.0,78.0,,65.0,52.0,,,,57.0,,,,75.0,76.0,,,,,75.0,78.0,47.0,,,,,,,,78.0,66.0,
01-01-2009 05:00,53.0,,81.0,50.0,,80.0,76.0,80.0,,63.0,52.0,,,,57.0,,,,76.0,78.0,,,,,76.0,79.0,49.0,,,,,,,,79.0,64.0,
01-01-2009 05:15,55.0,,81.0,50.0,,79.0,76.0,82.0,,64.0,52.0,,,,59.0,,,,75.0,79.0,,,,,76.0,78.0,50.0,,,,,,,,80.0,65.0,
01-01-2009 05:30,56.0,,81.0,50.0,,78.0,77.0,81.0,,64.0,52.0,,,,59.0,,,,74.0,80.0,,,,,74.0,77.0,51.0,,,,,,,,80.0,67.0,
